NaCl_mol_dm3,trial,V_NaOH_cm3,pH
0.000,1,0.000,3.690
0.000,2,0.000,3.580
0.000,3,0.000,3.560
0.000,4,0.000,3.490
0.000,1,2.000,4.310
0.000,2,2.000,4.200
0.000,3,2.000,4.140
0.000,4,2.000,4.120
0.000,1,4.000,4.690
0.000,2,4.000,4.580
0.000,3,4.000,4.500
0.000,4,4.000,4.460
0.000,1,6.000,4.960
0.000,2,6.000,4.770
0.000,3,6.000,4.710
0.000,4,6.000,4.670
0.000,1,13.000,5.610
0.000,2,13.000,5.320
0.000,3,13.000,5.260
0.000,4,13.000,5.250
0.000,1,14.000,5.710
0.000,2,14.000,5.410
0.000,3,14.000,5.340
0.000,4,14.000,5.320
0.000,1,17.000,6.050
0.000,2,17.000,5.650
0.000,3,17.000,5.580
0.000,4,17.000,5.580
0.000,1,21.000,7.010
0.000,2,21.000,6.110
0.000,3,21.000,6.010
0.000,4,21.000,6.050
0.000,1,23.000,8.580
0.000,2,23.000,6.630
0.000,3,23.000,6.430
0.000,4,23.000,6.580
0.000,1,27.000,12.600
0.000,2,27.000,12.200
0.000,3,27.000,10.920
0.000,4,27.000,11.920
0.200,1,0.000,3.370
0.200,2,0.000,3.340
0.200,3,0.000,3.420
0.200,1,0.500,3.410
0.200,2,0.500,3.560
0.200,3,0.500,3.420
0.200,1,1.000,3.690
0.200,2,1.000,3.840
0.200,3,1.000,3.690
0.200,1,2.000,4.070
0.200,2,2.000,4.080
0.200,3,2.000,4.080
0.200,1,2.500,4.170
0.200,2,2.500,4.180
0.200,3,2.500,4.170
0.200,1,3.000,4.260
0.200,2,3.000,4.250
0.200,3,3.000,4.250
0.200,1,3.500,4.340
0.200,2,3.500,4.340
0.200,3,3.500,4.340
0.200,1,4.000,4.390
0.200,2,4.000,4.430
0.200,3,4.000,4.430
0.200,1,5.000,4.530
0.200,2,5.000,4.560
0.200,3,5.000,4.540
0.200,1,5.500,4.580
0.200,2,5.500,4.610
0.200,3,5.500,4.620
0.200,1,6.000,4.630
0.200,2,6.000,4.670
0.200,3,6.000,4.650
0.200,1,6.500,4.680
0.200,2,6.500,4.710
0.200,3,6.500,4.700
0.200,1,7.000,4.730
0.200,2,7.000,4.760
0.200,3,7.000,4.740
0.200,1,8.000,4.830
0.200,2,8.000,4.850
0.200,3,8.000,4.880
0.200,1,9.000,4.910
0.200,2,9.000,4.940
0.200,3,9.000,4.940
0.200,1,9.500,4.940
0.200,2,9.500,4.990
0.200,3,9.500,4.960
0.200,1,10.500,5.030
0.200,2,10.500,5.060
0.200,3,10.500,5.050
0.200,1,11.000,5.050
0.200,2,11.000,5.110
0.200,3,11.000,5.100
0.200,1,12.000,5.150
0.200,2,12.000,5.180
0.200,3,12.000,5.190
0.200,1,12.500,5.180
0.200,2,12.500,5.210
0.200,3,12.500,5.230
0.200,1,13.000,5.230
0.200,2,13.000,5.250
0.200,3,13.000,5.230
0.200,1,14.000,5.300
0.200,2,14.000,5.330
0.200,3,14.000,5.320
0.200,1,15.000,5.390
0.200,2,15.000,5.410
0.200,3,15.000,5.470
0.200,1,15.500,5.440
0.200,2,15.500,5.480
0.200,3,15.500,5.470
0.200,1,17.000,5.580
0.200,2,17.000,5.610
0.200,3,17.000,5.650
0.200,1,17.500,5.630
0.200,2,17.500,5.660
0.200,3,17.500,5.670
0.200,1,18.000,5.670
0.200,2,18.000,5.710
0.200,3,18.000,5.720
0.200,1,18.500,5.720
0.200,2,18.500,5.770
0.200,3,18.500,5.770
0.200,1,19.000,5.770
0.200,2,19.000,5.830
0.200,3,19.000,5.820
0.200,1,19.500,5.830
0.200,2,19.500,5.900
0.200,3,19.500,5.840
0.200,1,20.000,5.900
0.200,2,20.000,5.990
0.200,3,20.000,5.910
0.200,1,20.200,5.950
0.200,2,20.200,6.030
0.200,3,20.200,5.990
0.200,1,20.500,6.010
0.200,2,20.500,6.070
0.200,3,20.500,6.010
0.200,1,21.000,6.130
0.200,2,21.000,6.150
0.200,3,21.000,6.130
0.200,1,21.500,6.200
0.200,2,21.500,6.280
0.200,3,21.500,6.220
0.200,1,22.000,6.310
0.200,2,22.000,6.400
0.200,3,22.000,6.310
0.200,1,22.500,6.420
0.200,2,22.500,6.550
0.200,3,22.500,6.420
0.200,1,23.000,6.590
0.200,2,23.000,6.800
0.200,3,23.000,6.570
0.200,1,23.500,6.710
0.200,2,23.500,7.150
0.200,3,23.500,6.710
0.200,1,23.700,6.870
0.200,2,23.700,7.460
0.200,3,23.700,6.900
0.200,1,24.000,7.130
0.200,2,24.000,7.820
0.200,3,24.000,7.160
0.200,1,24.500,7.540
0.200,2,24.500,9.010
0.200,3,24.500,7.540
0.200,1,24.700,8.530
0.200,2,24.700,9.900
0.200,3,24.700,8.590
0.200,1,25.000,10.130
0.200,2,25.000,10.760
0.200,3,25.000,10.220
0.200,1,25.200,11.070
0.200,2,25.200,11.220
0.200,3,25.200,11.030
0.200,1,25.500,11.660
0.200,2,25.500,11.590
0.200,3,25.500,11.650
0.200,1,25.700,11.930
0.200,2,25.700,11.730
0.200,3,25.700,11.940
0.200,1,26.000,12.080
0.200,2,26.000,11.900
0.200,3,26.000,12.080
0.200,1,26.500,12.200
0.200,2,26.500,12.040
0.200,3,26.500,12.260
0.200,1,27.000,12.270
0.200,2,27.000,12.130
0.200,3,27.000,12.330
0.200,1,28.000,12.380
0.200,2,28.000,12.290
0.200,3,28.000,12.380
0.200,1,28.500,12.430
0.200,2,28.500,12.340
0.200,3,28.500,12.450
0.200,1,29.000,12.470
0.200,2,29.000,12.390
0.200,3,29.000,12.510
0.200,1,29.500,12.510
0.200,2,29.500,12.430
0.200,3,29.500,12.530
0.400,1,0.000,3.000
0.400,2,0.000,2.950
0.400,3,0.000,2.960
0.400,1,0.500,3.260
0.400,2,0.500,3.120
0.400,3,0.500,3.300
0.400,1,1.000,3.470
0.400,2,1.000,3.340
0.400,3,1.000,3.440
0.400,1,1.500,3.620
0.400,2,1.500,3.470
0.400,3,1.500,3.620
0.400,1,2.000,3.730
0.400,2,2.000,3.590
0.400,3,2.000,3.740
0.400,1,4.500,4.100
0.400,2,4.500,4.170
0.400,3,4.500,4.590
0.400,1,5.000,4.510
0.400,2,5.000,4.480
0.400,3,5.000,4.620
0.400,1,5.500,4.550
0.400,2,5.500,4.550
0.400,3,5.500,4.700
0.400,1,6.000,4.610
0.400,2,6.000,4.590
0.400,3,6.000,4.740
0.400,1,6.500,4.650
0.400,2,6.500,4.640
0.400,3,6.500,4.790
0.400,1,7.000,4.690
0.400,2,7.000,4.690
0.400,3,7.000,4.850
0.400,1,7.500,4.740
0.400,2,7.500,4.740
0.400,3,7.500,4.910
0.400,1,8.000,4.780
0.400,2,8.000,4.800
0.400,3,8.000,4.920
0.400,1,8.500,4.820
0.400,2,8.500,4.830
0.400,3,8.500,4.970
0.400,1,9.000,4.860
0.400,2,9.000,4.880
0.400,3,9.000,5.030
0.400,1,9.500,4.900
0.400,2,9.500,4.920
0.400,3,9.500,5.090
0.400,1,10.000,4.940
0.400,2,10.000,4.950
0.400,3,10.000,5.120
0.400,1,11.000,5.020
0.400,2,11.000,5.030
0.400,3,11.000,5.210
0.400,1,11.500,5.060
0.400,2,11.500,5.070
0.400,3,11.500,5.260
0.400,1,12.000,5.110
0.400,2,12.000,5.120
0.400,3,12.000,5.280
0.400,1,12.500,5.150
0.400,2,12.500,5.160
0.400,3,12.500,5.340
0.400,1,13.000,5.190
0.400,2,13.000,5.200
0.400,3,13.000,5.410
0.400,1,13.500,5.220
0.400,2,13.500,5.240
0.400,3,13.500,5.450
0.400,1,14.000,5.260
0.400,2,14.000,5.290
0.400,3,14.000,5.520
0.400,1,14.500,5.300
0.400,2,14.500,5.320
0.400,3,14.500,5.520
0.400,1,15.000,5.350
0.400,2,15.000,5.390
0.400,3,15.000,5.620
0.400,1,16.000,5.430
0.400,2,16.000,5.470
0.400,3,16.000,5.740
0.400,1,16.500,5.480
0.400,2,16.500,5.510
0.400,3,16.500,5.790
0.400,1,17.500,5.580
0.400,2,17.500,5.610
0.400,3,17.500,5.930
0.400,1,18.000,5.650
0.400,2,18.000,5.670
0.400,3,18.000,5.930
0.400,1,18.500,5.690
0.400,2,18.500,5.720
0.400,3,18.500,5.930
0.400,1,19.000,5.760
0.400,2,19.000,5.770
0.400,3,19.000,5.930
0.400,1,19.500,5.830
0.400,2,19.500,5.870
0.400,3,19.500,5.930
0.400,1,20.000,5.890
0.400,2,20.000,5.930
0.400,3,20.000,6.120
0.400,1,20.200,5.950
0.400,2,20.200,5.980
0.400,3,20.200,6.230
0.400,1,20.500,6.020
0.400,2,20.500,6.010
0.400,3,20.500,6.440
0.400,1,21.000,6.110
0.400,2,21.000,6.010
0.400,3,21.000,7.390
0.400,1,21.500,6.110
0.400,2,21.500,6.010
0.400,3,21.500,9.280
0.400,1,22.000,6.110
0.400,2,22.000,6.010
0.400,3,22.000,11.300
0.400,1,22.500,6.120
0.400,2,22.500,6.110
0.400,3,22.500,11.550
0.400,1,23.000,6.300
0.400,2,23.000,6.240
0.400,3,23.000,11.740
0.400,1,23.500,6.500
0.400,2,23.500,6.420
0.400,3,23.500,11.780
0.400,1,24.000,6.770
0.400,2,24.000,6.660
0.400,3,24.000,11.880
0.400,1,24.500,7.100
0.400,2,24.500,6.930
0.400,3,24.500,11.980
0.400,1,25.000,7.540
0.400,2,25.000,7.420
0.400,3,25.000,12.040
0.400,1,25.500,8.380
0.400,2,25.500,7.880
0.400,3,25.500,12.090
0.400,1,26.000,9.060
0.400,2,26.000,8.680
0.400,3,26.000,12.150
0.400,1,26.500,9.630
0.400,2,26.500,9.540
0.400,3,26.500,12.190
0.400,1,27.000,10.020
0.400,2,27.000,9.790
0.400,3,27.000,12.200
0.400,1,27.500,10.280
0.400,2,27.500,10.060
0.400,3,27.500,12.250
0.400,1,28.000,10.510
0.400,2,28.000,10.270
0.400,3,28.000,12.270
0.400,1,28.500,10.720
0.400,2,28.500,10.470
0.400,3,28.500,12.280
0.400,1,29.000,10.920
0.400,2,29.000,10.630
0.400,3,29.000,12.360
0.500,1,0.000,3.370
0.500,2,0.000,3.380
0.500,3,0.000,3.300
0.500,1,0.500,3.540
0.500,2,0.500,3.610
0.500,3,0.500,3.520
0.500,1,1.000,3.820
0.500,2,1.000,3.790
0.500,3,1.000,3.790
0.500,1,2.500,4.130
0.500,2,2.500,4.120
0.500,3,2.500,4.160
0.500,1,4.000,4.350
0.500,2,4.000,4.360
0.500,3,4.000,4.370
0.500,1,5.000,4.490
0.500,2,5.000,4.460
0.500,3,5.000,4.530
0.500,1,5.500,4.550
0.500,2,5.500,4.520
0.500,3,5.500,4.590
0.500,1,6.000,4.580
0.500,2,6.000,4.590
0.500,3,6.000,4.610
0.500,1,6.500,4.620
0.500,2,6.500,4.650
0.500,3,6.500,4.670
0.500,1,7.500,4.720
0.500,2,7.500,4.740
0.500,3,7.500,4.760
0.500,1,8.000,4.760
0.500,2,8.000,4.790
0.500,3,8.000,4.770
0.500,1,9.500,4.900
0.500,2,9.500,4.920
0.500,3,9.500,4.940
0.500,1,10.000,4.940
0.500,2,10.000,4.950
0.500,3,10.000,4.970
0.500,1,10.500,4.960
0.500,2,10.500,4.980
0.500,3,10.500,4.980
0.500,1,11.000,5.010
0.500,2,11.000,5.030
0.500,3,11.000,5.030
0.500,1,11.500,5.050
0.500,2,11.500,5.060
0.500,3,11.500,5.120
0.500,1,12.500,5.120
0.500,2,12.500,5.150
0.500,3,12.500,5.190
0.500,1,14.500,5.290
0.500,2,14.500,5.290
0.500,3,14.500,5.320
0.500,1,16.000,5.440
0.500,2,16.000,5.420
0.500,3,16.000,5.430
0.500,1,18.500,5.660
0.500,2,18.500,5.670
0.500,3,18.500,5.650
0.500,1,19.500,5.790
0.500,2,19.500,5.800
0.500,3,19.500,5.810
0.500,1,20.000,5.830
0.500,2,20.000,5.880
0.500,3,20.000,5.860
0.500,1,20.500,5.940
0.500,2,20.500,5.940
0.500,3,20.500,5.950
0.500,1,21.000,6.050
0.500,2,21.000,6.030
0.500,3,21.000,6.060
0.500,1,21.200,6.110
0.500,2,21.200,6.070
0.500,3,21.200,6.090
0.500,1,21.500,6.170
0.500,2,21.500,6.140
0.500,3,21.500,6.210
0.500,1,22.000,6.290
0.500,2,22.000,6.280
0.500,3,22.000,6.320
0.500,1,22.200,6.340
0.500,2,22.200,6.360
0.500,3,22.200,6.320
0.500,1,22.500,6.410
0.500,2,22.500,6.440
0.500,3,22.500,6.410
0.500,1,23.000,6.560
0.500,2,23.000,6.630
0.500,3,23.000,6.590
0.500,1,23.500,6.920
0.500,2,23.500,6.790
0.500,3,23.500,6.910
0.500,1,24.000,7.300
0.500,2,24.000,7.130
0.500,3,24.000,7.300
0.500,1,24.200,7.620
0.500,2,24.200,7.840
0.500,3,24.200,7.580
0.500,1,24.500,8.110
0.500,2,24.500,8.820
0.500,3,24.500,8.110
0.500,1,24.700,9.120
0.500,2,24.700,9.980
0.500,3,24.700,9.080
0.500,1,25.000,10.220
0.500,2,25.000,10.910
0.500,3,25.000,10.220
0.500,1,25.500,11.630
0.500,2,25.500,11.620
0.500,3,25.500,11.620
0.500,1,26.000,11.940
0.500,2,26.000,11.940
0.500,3,26.000,11.990
0.500,1,26.200,12.040
0.500,2,26.200,12.050
0.500,3,26.200,12.080
0.500,1,26.500,12.110
0.500,2,26.500,12.130
0.500,3,26.500,12.150
0.500,1,26.700,12.170
0.500,2,26.700,12.180
0.500,3,26.700,12.170
0.500,1,27.000,12.210
0.500,2,27.000,12.220
0.500,3,27.000,12.260
0.500,1,27.500,12.260
0.500,2,27.500,12.290
0.500,3,27.500,12.320
0.500,1,27.700,12.290
0.500,2,27.700,12.320
0.500,3,27.700,12.340
0.500,1,28.000,12.320
0.500,2,28.000,12.340
0.500,3,28.000,12.340
0.500,1,28.200,12.350
0.500,2,28.200,12.370
0.500,3,28.200,12.400
0.500,1,28.500,12.380
0.500,2,28.500,12.400
0.500,3,28.500,12.470
0.600,1,0.000,2.960
0.600,2,0.000,2.950
0.600,3,0.000,2.950
0.600,1,1.000,3.370
0.600,2,1.000,3.330
0.600,3,1.000,3.330
0.600,1,1.500,3.570
0.600,2,1.500,3.520
0.600,3,1.500,3.540
0.600,1,2.000,3.650
0.600,2,2.000,3.650
0.600,3,2.000,3.660
0.600,1,2.500,3.740
0.600,2,2.500,3.750
0.600,3,2.500,3.750
0.600,1,3.000,3.820
0.600,2,3.000,3.830
0.600,3,3.000,3.860
0.600,1,3.500,3.910
0.600,2,3.500,3.910
0.600,3,3.500,3.940
0.600,1,4.000,4.390
0.600,2,4.000,4.390
0.600,3,4.000,4.400
0.600,1,4.500,4.450
0.600,2,4.500,4.450
0.600,3,4.500,4.460
0.600,1,5.000,4.500
0.600,2,5.000,4.520
0.600,3,5.000,4.530
0.600,1,5.500,4.570
0.600,2,5.500,4.590
0.600,3,5.500,4.600
0.600,1,6.000,4.620
0.600,2,6.000,4.640
0.600,3,6.000,4.650
0.600,1,6.500,4.670
0.600,2,6.500,4.700
0.600,3,6.500,4.690
0.600,1,7.000,4.720
0.600,2,7.000,4.750
0.600,3,7.000,4.750
0.600,1,7.500,4.750
0.600,2,7.500,4.790
0.600,3,7.500,4.790
0.600,1,8.000,4.810
0.600,2,8.000,4.850
0.600,3,8.000,4.860
0.600,1,9.500,4.960
0.600,2,9.500,4.980
0.600,3,9.500,4.980
0.600,1,10.000,5.000
0.600,2,10.000,5.030
0.600,3,10.000,5.030
0.600,1,10.500,5.040
0.600,2,10.500,5.060
0.600,3,10.500,5.070
0.600,1,11.000,5.080
0.600,2,11.000,5.110
0.600,3,11.000,5.110
0.600,1,12.000,5.170
0.600,2,12.000,5.230
0.600,3,12.000,5.230
0.600,1,12.500,5.220
0.600,2,12.500,5.270
0.600,3,12.500,5.270
0.600,1,13.000,5.270
0.600,2,13.000,5.310
0.600,3,13.000,5.310
0.600,1,13.500,5.320
0.600,2,13.500,5.350
0.600,3,13.500,5.370
0.600,1,14.000,5.370
0.600,2,14.000,5.400
0.600,3,14.000,5.420
0.600,1,14.500,5.420
0.600,2,14.500,5.460
0.600,3,14.500,5.450
0.600,1,15.000,5.470
0.600,2,15.000,5.510
0.600,3,15.000,5.520
0.600,1,15.500,5.520
0.600,2,15.500,5.570
0.600,3,15.500,5.580
0.600,1,16.000,5.570
0.600,2,16.000,5.630
0.600,3,16.000,5.640
0.600,1,16.500,5.630
0.600,2,16.500,5.700
0.600,3,16.500,5.700
0.600,1,17.000,5.690
0.600,2,17.000,5.790
0.600,3,17.000,5.790
0.600,1,17.500,5.770
0.600,2,17.500,5.860
0.600,3,17.500,5.850
0.600,1,18.000,5.850
0.600,2,18.000,5.860
0.600,3,18.000,5.850
0.600,1,18.500,5.850
0.600,2,18.500,5.860
0.600,3,18.500,5.850
0.600,1,19.000,5.850
0.600,2,19.000,5.860
0.600,3,19.000,5.850
0.600,1,19.500,5.850
0.600,2,19.500,5.980
0.600,3,19.500,5.970
0.600,1,20.000,5.940
0.600,2,20.000,6.200
0.600,3,20.000,6.200
0.600,1,20.200,6.060
0.600,2,20.200,6.400
0.600,3,20.200,6.400
0.600,1,20.500,6.190
0.600,2,20.500,6.650
0.600,3,20.500,6.660
0.600,1,20.700,6.300
0.600,2,20.700,7.110
0.600,3,20.700,7.130
0.600,1,21.000,6.470
0.600,2,21.000,7.690
0.600,3,21.000,7.690
0.600,1,21.200,6.680
0.600,2,21.200,8.680
0.600,3,21.200,8.680
0.600,1,21.500,7.200
0.600,2,21.500,10.270
0.600,3,21.500,10.280
0.600,1,21.700,7.810
0.600,2,21.700,11.100
0.600,3,21.700,11.110
0.600,1,22.000,8.970
0.600,2,22.000,11.370
0.600,3,22.000,11.380
0.600,1,22.200,9.860
0.600,2,22.200,11.500
0.600,3,22.200,11.480
0.600,1,22.500,10.350
0.600,2,22.500,11.590
0.600,3,22.500,11.590
0.600,1,23.000,10.970
0.600,2,23.000,11.700
0.600,3,23.000,11.710
0.600,1,23.500,11.170
0.600,2,23.500,11.830
0.600,3,23.500,11.830
0.600,1,24.000,11.380
0.600,2,24.000,11.930
0.600,3,24.000,11.920
0.600,1,24.500,11.550
0.600,2,24.500,11.990
0.600,3,24.500,11.980
0.600,1,25.000,11.650
0.600,2,25.000,12.040
0.600,3,25.000,12.040
0.600,1,25.500,11.760
0.600,2,25.500,12.100
0.600,3,25.500,12.100
0.600,1,26.000,11.830
0.600,2,26.000,12.140
0.600,3,26.000,12.130
0.600,1,26.500,11.890
0.600,2,26.500,12.190
0.600,3,26.500,12.190
0.600,1,27.000,11.930
0.600,2,27.000,12.240
0.600,3,27.000,12.240
0.600,1,27.500,11.980
0.600,2,27.500,12.270
0.600,3,27.500,12.270
0.600,1,28.000,12.010
0.600,2,28.000,12.290
0.600,3,28.000,12.300
0.600,1,28.500,12.040
0.600,2,28.500,12.310
0.600,3,28.500,12.320
0.600,1,29.000,12.080
0.600,2,29.000,12.340
0.600,3,29.000,12.340
0.600,1,29.500,12.110
0.600,2,29.500,12.370
0.600,3,29.500,12.380
0.600,1,30.000,12.140
0.600,2,30.000,12.390
0.600,3,30.000,12.390
0.600,1,30.500,12.170
0.600,2,30.500,12.410
0.600,3,30.500,12.420
0.800,1,0.000,3.210
0.800,2,0.000,3.210
0.800,3,0.000,3.260
0.800,1,0.500,3.390
0.800,2,0.500,3.390
0.800,3,0.500,3.460
0.800,1,1.000,3.560
0.800,2,1.000,3.560
0.800,3,1.000,3.620
0.800,1,1.500,3.730
0.800,2,1.500,3.730
0.800,3,1.500,3.780
0.800,1,2.000,3.870
0.800,2,2.000,3.870
0.800,3,2.000,3.950
0.800,1,2.500,3.980
0.800,2,2.500,3.980
0.800,3,2.500,4.040
0.800,1,3.000,4.060
0.800,2,3.000,4.060
0.800,3,3.000,4.100
0.800,1,3.500,4.130
0.800,2,3.500,4.130
0.800,3,3.500,4.190
0.800,1,4.000,4.220
0.800,2,4.000,4.220
0.800,3,4.000,4.260
0.800,1,4.500,4.290
0.800,2,4.500,4.290
0.800,3,4.500,4.330
0.800,1,5.000,4.360
0.800,2,5.000,4.360
0.800,3,5.000,4.400
0.800,1,6.000,4.470
0.800,2,6.000,4.470
0.800,3,6.000,4.510
0.800,1,6.500,4.520
0.800,2,6.500,4.520
0.800,3,6.500,4.560
0.800,1,7.000,4.590
0.800,2,7.000,4.590
0.800,3,7.000,4.610
0.800,1,7.500,4.630
0.800,2,7.500,4.630
0.800,3,7.500,4.650
0.800,1,8.000,4.670
0.800,2,8.000,4.670
0.800,3,8.000,4.710
0.800,1,8.500,4.710
0.800,2,8.500,4.710
0.800,3,8.500,4.760
0.800,1,9.000,4.760
0.800,2,9.000,4.760
0.800,3,9.000,4.800
0.800,1,10.000,4.840
0.800,2,10.000,4.840
0.800,3,10.000,4.870
0.800,1,10.500,4.880
0.800,2,10.500,4.880
0.800,3,10.500,4.910
0.800,1,11.000,4.920
0.800,2,11.000,4.920
0.800,3,11.000,4.950
0.800,1,11.500,4.970
0.800,2,11.500,4.970
0.800,3,11.500,4.990
0.800,1,12.000,5.010
0.800,2,12.000,5.010
0.800,3,12.000,5.020
0.800,1,12.500,5.040
0.800,2,12.500,5.040
0.800,3,12.500,5.060
0.800,1,13.000,5.080
0.800,2,13.000,5.080
0.800,3,13.000,5.120
0.800,1,13.500,5.120
0.800,2,13.500,5.120
0.800,3,13.500,5.150
0.800,1,14.000,5.170
0.800,2,14.000,5.170
0.800,3,14.000,5.200
0.800,1,16.500,5.380
0.800,2,16.500,5.380
0.800,3,16.500,5.420
0.800,1,19.000,5.620
0.800,2,19.000,5.620
0.800,3,19.000,5.680
0.800,1,19.500,5.710
0.800,2,19.500,5.710
0.800,3,19.500,5.730
0.800,1,21.000,5.940
0.800,2,21.000,5.940
0.800,3,21.000,5.940
0.800,1,21.500,6.020
0.800,2,21.500,6.020
0.800,3,21.500,6.000
0.800,1,22.000,6.180
0.800,2,22.000,6.180
0.800,3,22.000,6.150
0.800,1,22.500,6.340
0.800,2,22.500,6.340
0.800,3,22.500,6.330
0.800,1,23.000,6.560
0.800,2,23.000,6.560
0.800,3,23.000,6.550
0.800,1,24.500,7.150
0.800,2,24.500,7.150
0.800,3,24.500,7.670
0.800,1,25.000,10.140
0.800,2,25.000,10.140
0.800,3,25.000,8.890
0.800,1,26.500,11.910
0.800,2,26.500,11.910
0.800,3,26.500,11.850
0.800,1,28.000,12.220
0.800,2,28.000,12.220
0.800,3,28.000,12.190
0.800,1,28.500,12.270
0.800,2,28.500,12.270
0.800,3,28.500,12.260
0.800,1,29.000,12.350
0.800,2,29.000,12.350
0.800,3,29.000,12.320
0.800,1,30.000,12.440
0.800,2,30.000,12.440
0.800,3,30.000,12.400
1.000,2,0.000,3.470
1.000,3,0.000,3.420
1.000,4,0.000,3.410
1.000,2,0.500,3.660
1.000,3,0.500,3.640
1.000,4,0.500,3.630
1.000,2,1.000,3.830
1.000,3,1.000,3.840
1.000,4,1.000,3.830
1.000,2,1.500,3.990
1.000,3,1.500,4.010
1.000,4,1.500,4.000
1.000,2,2.000,4.120
1.000,3,2.000,4.160
1.000,4,2.000,4.150
1.000,2,2.500,4.240
1.000,3,2.500,4.280
1.000,4,2.500,4.270
1.000,2,3.000,4.340
1.000,3,3.000,4.380
1.000,4,3.000,4.370
1.000,2,3.500,4.420
1.000,3,3.500,4.450
1.000,4,3.500,4.440
1.000,2,4.000,4.480
1.000,3,4.000,4.500
1.000,4,4.000,4.480
1.000,2,4.500,4.530
1.000,3,4.500,4.520
1.000,4,4.500,4.510
1.000,2,5.000,4.560
1.000,3,5.000,4.540
1.000,4,5.000,4.530
1.000,2,5.500,4.640
1.000,3,5.500,4.570
1.000,4,5.500,4.570
1.000,2,6.000,4.700
1.000,3,6.000,4.610
1.000,4,6.000,4.610
1.000,2,6.500,4.700
1.000,3,6.500,4.650
1.000,4,6.500,4.640
1.000,2,7.000,4.730
1.000,3,7.000,4.680
1.000,4,7.000,4.680
1.000,2,7.500,4.770
1.000,3,7.500,4.710
1.000,4,7.500,4.710
1.000,2,8.000,4.800
1.000,3,8.000,4.740
1.000,4,8.000,4.750
1.000,2,8.500,4.840
1.000,3,8.500,4.780
1.000,4,8.500,4.780
1.000,2,9.000,4.880
1.000,3,9.000,4.810
1.000,4,9.000,4.810
1.000,2,9.500,4.910
1.000,3,9.500,4.840
1.000,4,9.500,4.840
1.000,2,10.000,4.950
1.000,3,10.000,4.870
1.000,4,10.000,4.870
1.000,2,10.500,4.980
1.000,3,10.500,4.900
1.000,4,10.500,4.910
1.000,2,11.000,5.020
1.000,3,11.000,4.930
1.000,4,11.000,4.940
1.000,2,11.500,5.050
1.000,3,11.500,4.960
1.000,4,11.500,4.970
1.000,2,12.000,5.080
1.000,3,12.000,5.000
1.000,4,12.000,5.010
1.000,2,12.500,5.120
1.000,3,12.500,5.030
1.000,4,12.500,5.040
1.000,2,13.000,5.150
1.000,3,13.000,5.060
1.000,4,13.000,5.080
1.000,2,13.500,5.180
1.000,3,13.500,5.100
1.000,4,13.500,5.120
1.000,2,14.000,5.220
1.000,3,14.000,5.140
1.000,4,14.000,5.160
1.000,2,14.500,5.250
1.000,3,14.500,5.180
1.000,4,14.500,5.200
1.000,2,15.000,5.290
1.000,3,15.000,5.230
1.000,4,15.000,5.240
1.000,2,15.500,5.330
1.000,3,15.500,5.230
1.000,4,15.500,5.240
1.000,2,16.000,5.370
1.000,3,16.000,5.380
1.000,4,16.000,5.410
1.000,2,16.500,5.410
1.000,3,16.500,5.430
1.000,4,16.500,5.460
1.000,2,17.000,5.450
1.000,3,17.000,5.480
1.000,4,17.000,5.500
1.000,2,17.500,5.490
1.000,3,17.500,5.890
1.000,4,17.500,5.910
1.000,2,18.000,5.530
1.000,3,18.000,6.140
1.000,4,18.000,6.150
1.000,2,18.500,5.580
1.000,3,18.500,6.480
1.000,4,18.500,6.480
1.000,2,19.000,6.580
1.000,3,19.000,6.770
1.000,4,19.000,6.760
1.000,2,19.500,6.750
1.000,3,19.500,6.920
1.000,4,19.500,6.900
1.000,2,20.500,6.840
1.000,3,20.500,7.170
1.000,4,20.500,7.150
1.000,2,21.500,7.040
1.000,3,21.500,8.200
1.000,4,21.500,8.180
1.000,2,22.500,8.020
1.000,3,22.500,10.880
1.000,4,22.500,10.890
1.000,2,23.500,9.610
1.000,3,23.500,12.140
1.000,4,23.500,12.140
1.000,2,24.500,11.270
1.000,3,24.500,12.440
1.000,4,24.500,12.450
1.000,2,25.500,12.000
1.000,3,25.500,12.590
1.000,4,25.500,12.610
1.000,2,26.500,12.250
1.000,3,26.500,12.660
1.000,4,26.500,12.680
1.000,2,27.500,12.500
1.000,3,27.500,12.720
1.000,4,27.500,12.720
1.000,2,28.500,12.640
1.000,3,28.500,12.780
1.000,4,28.500,12.770
1.000,2,29.500,12.730
1.000,3,29.500,12.820
1.000,4,29.500,12.820
1.000,2,30.500,12.790
1.000,3,30.500,12.860
1.000,4,30.500,12.870
1.000,2,31.500,12.830
1.000,3,31.500,12.880
1.000,4,31.500,12.890
